dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
junyi,1,43,akt,valid+test,0.71764711136209,0.8293547374431048,0.4249956379522714,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gkt,valid+test,0.7051897773041992,0.8288716360806899,0.4249601179796823,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gikt,valid+test,0.7137574475585169,0.8296973072022127,0.4197716359391591,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,skt,valid+test,0.7054773821300431,0.8291353086612351,0.4239215168990061,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dygkt,valid+test,0.7076096199334206,0.8287093661947967,0.4279605891832506,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,dgekt,valid+test,0.7116778845310896,0.8296364400109715,0.4207848739504212,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,1,43,gkt,valid+test,0.7049074247418854,0.8289085911610864,0.4251965734516051,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,gikt,valid+test,0.7137971111964081,0.8297199405905524,0.4199264976458418,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,skt,valid+test,0.7057534516728017,0.8291987332974865,0.4241658233357997,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,dygkt,valid+test,0.7075249250185881,0.8287093661947967,0.4281429245643123,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,1,43,dgekt,valid+test,0.7114928149764049,0.8296249315084259,0.4209725952689979,7820305,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,bkt,valid+test,0.7189472709140412,0.8282614661805104,0.4172567554361546,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dkt,valid+test,0.7189472709140412,0.8266675903584343,0.4260838839122123,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,simplekt,valid+test,0.7189472709140412,0.8282614661805104,0.4172567554361546,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,akt,valid+test,0.7174931486168623,0.8271483414720983,0.4276837842387397,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gkt,valid+test,0.7034017309471086,0.8266876375149291,0.4285458357469767,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gikt,valid+test,0.7125983243305537,0.8274638938657858,0.4231720617521896,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,skt,valid+test,0.7035907391153937,0.8269231281633747,0.427501320888816,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dygkt,valid+test,0.7059510690361953,0.8265706534751301,0.4315044997262132,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,dgekt,valid+test,0.7102285971295887,0.8274305242318736,0.4242407943703071,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
junyi,2,44,gkt,valid+test,0.7038717369290277,0.8267286199930799,0.4283907678204812,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,gikt,valid+test,0.712866144863735,0.8274638938657858,0.4230835311329327,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,skt,valid+test,0.7046806563025081,0.8269510419255827,0.4273460283721739,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,dygkt,valid+test,0.7064609310966639,0.8265706534751301,0.4313763845861627,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
junyi,2,44,dgekt,valid+test,0.7106331573018825,0.8274305242318736,0.4241309266307402,7881417,diagnostic,Diagnostic baseline; no SOTA claim.,full_log
xes3g5m,0,42,bkt,valid+test,0.617875587446238,0.7943713465498949,0.4932640584971793,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,dkt,valid+test,0.7092531200151431,0.7936973435127208,0.4812086826890077,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,simplekt,valid+test,0.718366173593789,0.7957765596721517,0.4665135000263761,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,akt,valid+test,0.7076509818651014,0.7941055938091572,0.480885482462521,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gkt,valid+test,0.6080426191747188,0.7938502423498575,0.4971318933098093,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,gikt,valid+test,0.7098184136175476,0.7941279565642487,0.4737598781246305,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,skt,valid+test,0.6597458532565355,0.7938502423498575,0.4885065057827886,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
xes3g5m,0,42,dygkt,valid+test,0.6457336740753357,0.7936609390276882,0.4940014057314583,1922840,diagnostic,Diagnostic baseline; no SOTA claim.,train_only
