model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
akt,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.819228873910586,0.7456122448979592,0.5073012375762888,60000.0,1.0,0.819228873910586,0.819228873910586,0.7456122448979592,0.7456122448979592,0.5073012375762888,0.5073012375762888,train_only
bkt,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,synthetic_c5,valid+test,0.7936912599059713,0.7246666666666667,0.5317693985301497,60000.0,1.0,0.7936912599059713,0.7936912599059713,0.7246666666666667,0.7246666666666667,0.5317693985301497,0.5317693985301497,train_only
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8277797956677577,0.7546683673469388,0.4917476202576062,60000.0,1.0,0.8277797956677577,0.8277797956677577,0.7546683673469388,0.7546683673469388,0.4917476202576062,0.4917476202576062,full_log
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8274030084589802,0.7553061224489795,0.4917701914925776,60000.0,1.0,0.8274030084589802,0.8274030084589802,0.7553061224489795,0.7553061224489795,0.4917701914925776,0.4917701914925776,train_only
dkt,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8245994937976242,0.7520408163265306,0.4960784606911195,60000.0,1.0,0.8245994937976242,0.8245994937976242,0.7520408163265306,0.7520408163265306,0.4960784606911195,0.4960784606911195,train_only
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8242465953754946,0.7489795918367347,0.4953555567354405,60000.0,1.0,0.8242465953754946,0.8242465953754946,0.7489795918367347,0.7489795918367347,0.4953555567354405,0.4953555567354405,full_log
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8236091142170459,0.7482397959183673,0.4957843591996749,60000.0,1.0,0.8236091142170459,0.8236091142170459,0.7482397959183673,0.7482397959183673,0.4957843591996749,0.4957843591996749,train_only
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8040737652211254,0.7352295918367346,0.5454764013506329,60000.0,1.0,0.8040737652211254,0.8040737652211254,0.7352295918367346,0.7352295918367346,0.5454764013506329,0.5454764013506329,full_log
gkt,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8098789307090996,0.7400510204081633,0.5272960287597823,60000.0,1.0,0.8098789307090996,0.8098789307090996,0.7400510204081633,0.7400510204081633,0.5272960287597823,0.5272960287597823,train_only
simplekt,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,synthetic_c5,valid+test,0.8282385997660142,0.7540561224489796,0.4909272908458804,60000.0,1.0,0.8282385997660142,0.8282385997660142,0.7540561224489796,0.7540561224489796,0.4909272908458804,0.4909272908458804,train_only
