dataset,fold,split_seed,cell_tag,q,k,K,tau,n_pre_to,n_pre_fl,n_pre_fl_minus_to,primary_bind_to,delta,model,slope,slope_ci_hi,bound,bound_conservative,observed_delta_auc,auc_train_only,auc_full_log,abs_observed,bound_holds,slack_ratio,label,delta_w,bound_w,slack_w,bound_w_holds
xes3g5m,2,44,q0.8_k5_K1000_tau0.1,0.8,5,1000,0.1,1000,1000,8,K,0.008,gkt,0.084273703388855,0.0899946100396613,0.00067418962711084,0.0007199568803172904,,,,,,,q0.8_k5_K1000_tau0.1,,,,
xes3g5m,2,44,q0.8_k5_K5000_tau0.1,0.8,5,5000,0.1,2452,2559,124,k,0.05057096247960848,gkt,0.084273703388855,0.0899946100396613,0.00426180229209544,0.004551114047682709,,,,,,,Mid $q$,,,,
xes3g5m,2,44,q0.8_k5_Kinf_tau0.1,0.8,5,1000000000,0.1,2452,2559,124,k,0.05057096247960848,gkt,0.084273703388855,0.0899946100396613,0.00426180229209544,0.004551114047682709,,,,,,,q0.8_k5_Kinf_tau0.1,,,,
xes3g5m,2,44,q0.9_k5_K1000_tau0.1,0.9,5,1000,0.1,1000,1000,8,K,0.008,gkt,0.084273703388855,0.0899946100396613,0.00067418962711084,0.0007199568803172904,,,,,,,q0.9_k5_K1000_tau0.1,,,,
xes3g5m,2,44,q0.9_k5_K5000_tau0.1,0.9,5,5000,0.1,1779,1885,116,k,0.06520517144463181,gkt,0.084273703388855,0.0899946100396613,0.0054950812777443386,0.005868113976728899,,,,,,,q0.9_k5_K5000_tau0.1,,,,
xes3g5m,2,44,q0.9_k5_Kinf_tau0.1,0.9,5,1000000000,0.1,1779,1885,116,k,0.06520517144463181,gkt,0.084273703388855,0.0899946100396613,0.0054950812777443386,0.005868113976728899,,,,,,,q0.9_k5_Kinf_tau0.1,,,,
xes3g5m,2,44,q0.95_k5_K1000_tau0.1,0.95,5,1000,0.1,1000,1000,8,K,0.008,gkt,0.084273703388855,0.0899946100396613,0.00067418962711084,0.0007199568803172904,,,,,,,$K$ binds,,,,
xes3g5m,2,44,q0.95_k5_K5000_tau0.05,0.95,5,5000,0.05,1168,1260,96,k,0.0821917808219178,gkt,0.084273703388855,0.0899946100396613,0.006926605757988082,0.007396817263533806,,,,,,,q0.95_k5_K5000_tau0.05,,,,
xes3g5m,2,44,q0.95_k5_K5000_tau0.1,0.95,5,5000,0.1,1168,1260,96,k,0.0821917808219178,gkt,0.084273703388855,0.0899946100396613,0.006926605757988082,0.007396817263533806,,,,,,,Published default,,,,
xes3g5m,2,44,q0.95_k5_K5000_tau0.2,0.95,5,5000,0.2,1168,1260,96,k,0.0821917808219178,gkt,0.084273703388855,0.0899946100396613,0.006926605757988082,0.007396817263533806,,,,,,,q0.95_k5_K5000_tau0.2,,,,
xes3g5m,2,44,q0.95_k5_Kinf_tau0.1,0.95,5,1000000000,0.1,1168,1260,96,k,0.0821917808219178,gkt,0.084273703388855,0.0899946100396613,0.006926605757988082,0.007396817263533806,,,,,,,q0.95_k5_Kinf_tau0.1,,,,
