dataset,fold,split_seed,cell_tag,arm,q,k,K,tau,n_pre_to,n_pre_fl,n_sim_to,n_sim_fl,n_pre_fl_minus_to,jaccard_pre_directed,jaccard_pre_undirected,jaccard_sim_undirected,share_p90,frac_share_gt_50,n_share_edges,n_raw_to,n_after_q_to,n_after_k_to,n_after_K_to,min_support_to,used_quantile_fallback_to,q_binds_to,k_binds_to,K_binds_to,primary_bind_to,n_raw_fl,n_after_q_fl,n_after_k_fl,n_after_K_fl,min_support_fl,used_quantile_fallback_fl,q_binds_fl,k_binds_fl,K_binds_fl,primary_bind_fl,sig_pre_to,sig_pre_fl,sig_sim_to,sig_sim_fl,graph_signature
xes3g5m,1,43,q0.8_k5_K5000_tau0.1,qk,0.8,5,5000,0.1,2442,2559,360,360,134,0.9413819875776398,0.9393805309734513,0.9672131147540983,0.34324093816631135,0.04318344039971449,2802,30886,6181,2442,2442,33,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,5c6ed69554d3ed2e,1a2528ca42d148d3,ed924b486dc90191,1001763cf0599b22,5c6ed69554d3ed2e|1a2528ca42d148d3|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.8_k5_Kinf_tau0.1,qk,0.8,5,1000000000,0.1,2442,2559,360,360,134,0.9413819875776398,0.9393805309734513,0.9672131147540983,0.34324093816631135,0.04318344039971449,2802,30886,6181,2442,2442,33,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,5c6ed69554d3ed2e,1a2528ca42d148d3,ed924b486dc90191,1001763cf0599b22,5c6ed69554d3ed2e|1a2528ca42d148d3|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.9_k5_K1000_tau0.1,qk,0.9,5,1000,0.1,1000,1000,360,360,6,0.9880715705765407,0.9890243902439024,0.9672131147540983,0.3775000000000034,0.08897058823529412,1360,30886,3095,1776,1000,148,False,True,True,True,K,34806,3481,1885,1000,168,False,True,True,True,K,dd5b3a88d0c090b4,51fdcc4a7f0295bb,ed924b486dc90191,1001763cf0599b22,dd5b3a88d0c090b4|51fdcc4a7f0295bb|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.9_k5_K5000_tau0.1,qk,0.9,5,5000,0.1,1776,1885,360,360,118,0.9329461457233369,0.9313118811881188,0.9672131147540983,0.3333333333333333,0.05664794007490637,2136,30886,3095,1776,1776,148,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,110733b891b39bd6,ba90b099892c9f3c,ed924b486dc90191,1001763cf0599b22,110733b891b39bd6|ba90b099892c9f3c|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.9_k5_Kinf_tau0.1,qk,0.9,5,1000000000,0.1,1776,1885,360,360,118,0.9329461457233369,0.9313118811881188,0.9672131147540983,0.3333333333333333,0.05664794007490637,2136,30886,3095,1776,1776,148,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,110733b891b39bd6,ba90b099892c9f3c,ed924b486dc90191,1001763cf0599b22,110733b891b39bd6|ba90b099892c9f3c|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.95_k5_K1000_tau0.1,qk,0.95,5,1000,0.1,1000,1000,360,360,6,0.9880715705765407,0.9890243902439024,0.9672131147540983,0.3775000000000034,0.08897058823529412,1360,30886,1546,1157,1000,466,False,True,True,True,K,34806,1741,1260,1000,562,False,True,True,True,K,dd5b3a88d0c090b4,51fdcc4a7f0295bb,ed924b486dc90191,1001763cf0599b22,dd5b3a88d0c090b4|51fdcc4a7f0295bb|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.95_k5_K5000_tau0.05,tau,0.95,5,5000,0.05,1157,1260,620,628,106,0.9136975455265242,0.9117929050814957,0.9746835443037974,0.5,0.09791783905458638,1777,30886,1546,1157,1157,466,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,ca1ab348884c8cd7,c0f8d1d7ff10f6a3,e7a9406fd320fbb8,cc5def1d527737d7,ca1ab348884c8cd7|c0f8d1d7ff10f6a3|e7a9406fd320fbb8|cc5def1d527737d7
xes3g5m,1,43,q0.95_k5_K5000_tau0.1,qk+tau,0.95,5,5000,0.1,1157,1260,360,360,106,0.9136975455265242,0.9117929050814957,0.9672131147540983,0.3391871566577698,0.07976268951878708,1517,30886,1546,1157,1157,466,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,ca1ab348884c8cd7,c0f8d1d7ff10f6a3,ed924b486dc90191,1001763cf0599b22,ca1ab348884c8cd7|c0f8d1d7ff10f6a3|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.95_k5_K5000_tau0.2,tau,0.95,5,5000,0.2,1157,1260,200,202,106,0.9136975455265242,0.9117929050814957,0.9705882352941176,0.32435761388615175,0.051584377302873984,1357,30886,1546,1157,1157,466,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,ca1ab348884c8cd7,c0f8d1d7ff10f6a3,0145a6612e43c40a,3ec25b12fb729b8e,ca1ab348884c8cd7|c0f8d1d7ff10f6a3|0145a6612e43c40a|3ec25b12fb729b8e
xes3g5m,1,43,q0.95_k5_Kinf_tau0.1,qk,0.95,5,1000000000,0.1,1157,1260,360,360,106,0.9136975455265242,0.9117929050814957,0.9672131147540983,0.3391871566577698,0.07976268951878708,1517,30886,1546,1157,1157,466,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,ca1ab348884c8cd7,c0f8d1d7ff10f6a3,ed924b486dc90191,1001763cf0599b22,ca1ab348884c8cd7|c0f8d1d7ff10f6a3|ed924b486dc90191|1001763cf0599b22
xes3g5m,2,44,q0.5_k5_K1000_tau0.1,qk,0.5,5,1000,0.1,1000,1000,358,360,8,0.9841269841269841,0.982989064398542,0.9725274725274725,0.3714641080312721,0.08689248895434462,1358,31089,17150,3204,1000,3,False,True,True,True,K,34806,19487,3292,1000,3,False,True,True,True,K,daa1e862077d4a6c,51fdcc4a7f0295bb,1ddc7e9fa15d7797,1001763cf0599b22,daa1e862077d4a6c|51fdcc4a7f0295bb|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.5_k5_K5000_tau0.1,qk,0.5,5,5000,0.1,3204,3292,358,360,161,0.9304606240713225,0.9253139458030403,0.9725274725274725,0.36363636363636365,0.03621560920830994,3562,31089,17150,3204,3204,3,False,True,True,False,k,34806,19487,3292,3292,3,False,True,True,False,k,831423539365986b,c3d1e3e97a9a17e0,1ddc7e9fa15d7797,1001763cf0599b22,831423539365986b|c3d1e3e97a9a17e0|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.5_k5_Kinf_tau0.1,qk+k,0.5,5,1000000000,0.1,3204,3292,358,360,161,0.9304606240713225,0.9253139458030403,0.9725274725274725,0.36363636363636365,0.03621560920830994,3562,31089,17150,3204,3204,3,False,True,True,False,k,34806,19487,3292,3292,3,False,True,True,False,k,831423539365986b,c3d1e3e97a9a17e0,1ddc7e9fa15d7797,1001763cf0599b22,831423539365986b|c3d1e3e97a9a17e0|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.5_k20_Kinf_tau0.1,k,0.5,20,1000000000,0.1,8667,9175,358,360,664,0.9121208873646983,0.9086294416243654,0.9725274725274725,0.3793103448275862,0.021939058171745154,9025,31089,17150,8667,8667,3,False,True,True,False,k,34806,19487,9175,9175,3,False,True,True,False,k,7d42b73d690fd46b,2a6ceb95d22668ec,1ddc7e9fa15d7797,1001763cf0599b22,7d42b73d690fd46b|2a6ceb95d22668ec|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.5_kinf_Kinf_tau0.1,k,0.5,1000000000,1000000000,0.1,17150,19487,358,360,2337,0.8800738954174578,0.8821664643194388,0.9725274725274725,0.4,0.02496001827735892,17508,31089,17150,17150,17150,3,False,True,False,False,q,34806,19487,19487,19487,3,False,True,False,False,q,1f23827e4630560d,e7e0f3f75e30a19e,1ddc7e9fa15d7797,1001763cf0599b22,1f23827e4630560d|e7e0f3f75e30a19e|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.8_k5_K1000_tau0.1,qk,0.8,5,1000,0.1,1000,1000,358,360,8,0.9841269841269841,0.982989064398542,0.9725274725274725,0.3714641080312721,0.08689248895434462,1358,31089,6243,2452,1000,32,False,True,True,True,K,34806,7022,2559,1000,34,False,True,True,True,K,daa1e862077d4a6c,51fdcc4a7f0295bb,1ddc7e9fa15d7797,1001763cf0599b22,daa1e862077d4a6c|51fdcc4a7f0295bb|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.8_k5_K5000_tau0.1,qk,0.8,5,5000,0.1,2452,2559,358,360,124,0.9452639751552795,0.9416187527642637,0.9725274725274725,0.3410181733457595,0.04199288256227758,2810,31089,6243,2452,2452,32,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,37834efe48581539,1a2528ca42d148d3,1ddc7e9fa15d7797,1001763cf0599b22,37834efe48581539|1a2528ca42d148d3|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.8_k5_Kinf_tau0.1,qk,0.8,5,1000000000,0.1,2452,2559,358,360,124,0.9452639751552795,0.9416187527642637,0.9725274725274725,0.3410181733457595,0.04199288256227758,2810,31089,6243,2452,2452,32,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,37834efe48581539,1a2528ca42d148d3,1ddc7e9fa15d7797,1001763cf0599b22,37834efe48581539|1a2528ca42d148d3|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.9_k5_K1000_tau0.1,qk,0.9,5,1000,0.1,1000,1000,358,360,8,0.9841269841269841,0.982989064398542,0.9725274725274725,0.3714641080312721,0.08689248895434462,1358,31089,3114,1779,1000,147,False,True,True,True,K,34806,3481,1885,1000,168,False,True,True,True,K,daa1e862077d4a6c,51fdcc4a7f0295bb,1ddc7e9fa15d7797,1001763cf0599b22,daa1e862077d4a6c|51fdcc4a7f0295bb|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.9_k5_K5000_tau0.1,qk,0.9,5,5000,0.1,1779,1885,358,360,116,0.933509234828496,0.9302038295243977,0.9725274725274725,0.3333333333333333,0.055217594759007955,2137,31089,3114,1779,1779,147,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,5118856a6a0e4577,ba90b099892c9f3c,1ddc7e9fa15d7797,1001763cf0599b22,5118856a6a0e4577|ba90b099892c9f3c|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.9_k5_Kinf_tau0.1,qk,0.9,5,1000000000,0.1,1779,1885,358,360,116,0.933509234828496,0.9302038295243977,0.9725274725274725,0.3333333333333333,0.055217594759007955,2137,31089,3114,1779,1779,147,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,5118856a6a0e4577,ba90b099892c9f3c,1ddc7e9fa15d7797,1001763cf0599b22,5118856a6a0e4577|ba90b099892c9f3c|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.95_k5_K1000_tau0.1,qk,0.95,5,1000,0.1,1000,1000,358,360,8,0.9841269841269841,0.982989064398542,0.9725274725274725,0.3714641080312721,0.08689248895434462,1358,31089,1557,1168,1000,465,False,True,True,True,K,34806,1741,1260,1000,562,False,True,True,True,K,daa1e862077d4a6c,51fdcc4a7f0295bb,1ddc7e9fa15d7797,1001763cf0599b22,daa1e862077d4a6c|51fdcc4a7f0295bb|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.95_k5_K5000_tau0.05,tau,0.95,5,5000,0.05,1168,1260,620,628,96,0.9208860759493671,0.9167464114832536,0.9872611464968153,0.5,0.09787472035794184,1788,31089,1557,1168,1168,465,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,45f3b2589ea6d925,c0f8d1d7ff10f6a3,a37448e2cb391cb9,cc5def1d527737d7,45f3b2589ea6d925|c0f8d1d7ff10f6a3|a37448e2cb391cb9|cc5def1d527737d7
xes3g5m,2,44,q0.95_k5_K5000_tau0.1,qk+tau,0.95,5,5000,0.1,1168,1260,358,360,96,0.9208860759493671,0.9167464114832536,0.9725274725274725,0.33876669103426577,0.07732634338138926,1526,31089,1557,1168,1168,465,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,45f3b2589ea6d925,c0f8d1d7ff10f6a3,1ddc7e9fa15d7797,1001763cf0599b22,45f3b2589ea6d925|c0f8d1d7ff10f6a3|1ddc7e9fa15d7797|1001763cf0599b22
xes3g5m,2,44,q0.95_k5_K5000_tau0.2,tau,0.95,5,5000,0.2,1168,1260,200,202,96,0.9208860759493671,0.9167464114832536,0.9900990099009901,0.31985699585762906,0.05263157894736842,1368,31089,1557,1168,1168,465,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,45f3b2589ea6d925,c0f8d1d7ff10f6a3,3a3e553161def6cd,3ec25b12fb729b8e,45f3b2589ea6d925|c0f8d1d7ff10f6a3|3a3e553161def6cd|3ec25b12fb729b8e
xes3g5m,2,44,q0.95_k5_Kinf_tau0.1,qk,0.95,5,1000000000,0.1,1168,1260,358,360,96,0.9208860759493671,0.9167464114832536,0.9725274725274725,0.33876669103426577,0.07732634338138926,1526,31089,1557,1168,1168,465,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,45f3b2589ea6d925,c0f8d1d7ff10f6a3,1ddc7e9fa15d7797,1001763cf0599b22,45f3b2589ea6d925|c0f8d1d7ff10f6a3|1ddc7e9fa15d7797|1001763cf0599b22
