dataset,augmentation,p,seed,ddr,fold
junyi,edge_drop,0.1,1234,0.09554730983302412,2.0
junyi,edge_drop,0.2,17,0.20037105751391465,2.0
junyi,edge_drop,0.2,42,0.2054730983302412,2.0
junyi,edge_drop,0.2,1234,0.19341372912801486,2.0
junyi,edge_drop,0.3,17,0.3079777365491651,2.0
junyi,edge_drop,0.3,42,0.30194805194805197,2.0
junyi,edge_drop,0.3,1234,0.29035250463821893,2.0
junyi,node_drop,0.05,17,0.11734693877551021,2.0
junyi,node_drop,0.05,42,0.08302411873840446,2.0
junyi,node_drop,0.05,1234,0.12523191094619665,2.0
junyi,node_drop,0.1,17,0.1767161410018553,2.0
junyi,node_drop,0.1,42,0.174860853432282,2.0
junyi,node_drop,0.1,1234,0.23376623376623376,2.0
junyi,node_drop,0.2,17,0.3650278293135436,2.0
junyi,node_drop,0.2,42,0.3979591836734694,2.0
junyi,node_drop,0.2,1234,0.3910018552875696,2.0
junyi,node_drop,0.3,17,0.5088126159554731,2.0
junyi,node_drop,0.3,42,0.5282931354359925,2.0
junyi,node_drop,0.3,1234,0.5255102040816326,2.0
junyi,prereq_preserve,0.05,17,0.04591836734693878,2.0
junyi,prereq_preserve,0.05,42,0.04452690166975881,2.0
junyi,prereq_preserve,0.05,1234,0.04916512059369202,2.0
junyi,prereq_preserve,0.1,17,0.08673469387755102,2.0
junyi,prereq_preserve,0.1,42,0.08905380333951762,2.0
junyi,prereq_preserve,0.1,1234,0.08858998144712431,2.0
junyi,prereq_preserve,0.2,17,0.187847866419295,2.0
junyi,prereq_preserve,0.2,42,0.1901669758812616,2.0
junyi,prereq_preserve,0.2,1234,0.1790352504638219,2.0
junyi,prereq_preserve,0.3,17,0.28617810760667906,2.0
junyi,prereq_preserve,0.3,42,0.27782931354359924,2.0
junyi,prereq_preserve,0.3,1234,0.26762523191094617,2.0
junyi,subgraph,0.05,17,0.012987012987012988,2.0
junyi,subgraph,0.05,42,0.013450834879406308,2.0
junyi,subgraph,0.05,1234,0.013450834879406308,2.0
junyi,subgraph,0.1,17,0.055658627087198514,2.0
junyi,subgraph,0.1,42,0.05890538033395176,2.0
junyi,subgraph,0.1,1234,0.055658627087198514,2.0
junyi,subgraph,0.2,17,0.13079777365491652,2.0
junyi,subgraph,0.2,42,0.1461038961038961,2.0
junyi,subgraph,0.2,1234,0.17996289424860853,2.0
junyi,subgraph,0.3,17,0.24860853432282004,2.0
junyi,subgraph,0.3,42,0.24304267161410018,2.0
junyi,subgraph,0.3,1234,0.29359925788497215,2.0
synthetic_c2,attr_mask,0.05,17,0.0,0.0
synthetic_c2,attr_mask,0.05,42,0.0,0.0
synthetic_c2,attr_mask,0.05,1234,0.0,0.0
synthetic_c2,attr_mask,0.1,17,0.0,0.0
synthetic_c2,attr_mask,0.1,42,0.0,0.0
synthetic_c2,attr_mask,0.1,1234,0.0,0.0
synthetic_c2,attr_mask,0.2,17,0.0,0.0
synthetic_c2,attr_mask,0.2,42,0.0,0.0
synthetic_c2,attr_mask,0.2,1234,0.0,0.0
synthetic_c2,attr_mask,0.3,17,0.0,0.0
synthetic_c2,attr_mask,0.3,42,0.0,0.0
synthetic_c2,attr_mask,0.3,1234,0.0,0.0
synthetic_c2,edge_drop,0.05,17,0.0,0.0
synthetic_c2,edge_drop,0.05,42,0.0,0.0
synthetic_c2,edge_drop,0.05,1234,0.0,0.0
synthetic_c2,edge_drop,0.1,17,0.0,0.0
synthetic_c2,edge_drop,0.1,42,0.0,0.0
synthetic_c2,edge_drop,0.1,1234,0.0,0.0
synthetic_c2,edge_drop,0.2,17,0.5,0.0
synthetic_c2,edge_drop,0.2,42,0.0,0.0
synthetic_c2,edge_drop,0.2,1234,0.0,0.0
synthetic_c2,edge_drop,0.3,17,0.5,0.0
synthetic_c2,edge_drop,0.3,42,0.0,0.0
synthetic_c2,edge_drop,0.3,1234,0.0,0.0
synthetic_c2,node_drop,0.05,17,0.0,0.0
synthetic_c2,node_drop,0.05,42,0.0,0.0
synthetic_c2,node_drop,0.05,1234,0.0,0.0
synthetic_c2,node_drop,0.1,17,0.0,0.0
synthetic_c2,node_drop,0.1,42,0.0,0.0
synthetic_c2,node_drop,0.1,1234,0.0,0.0
synthetic_c2,node_drop,0.2,17,1.0,0.0
synthetic_c2,node_drop,0.2,42,0.0,0.0
synthetic_c2,node_drop,0.2,1234,0.0,0.0
synthetic_c2,node_drop,0.3,17,1.0,0.0
synthetic_c2,node_drop,0.3,42,0.0,0.0
synthetic_c2,node_drop,0.3,1234,0.0,0.0
synthetic_c2,subgraph,0.05,17,0.0,0.0
synthetic_c2,subgraph,0.05,42,0.0,0.0
synthetic_c2,subgraph,0.05,1234,0.0,0.0
synthetic_c2,subgraph,0.1,17,0.0,0.0
synthetic_c2,subgraph,0.1,42,0.0,0.0
synthetic_c2,subgraph,0.1,1234,0.0,0.0
synthetic_c2,subgraph,0.2,17,0.0,0.0
synthetic_c2,subgraph,0.2,42,0.0,0.0
synthetic_c2,subgraph,0.2,1234,0.0,0.0
synthetic_c2,subgraph,0.3,17,0.0,0.0
synthetic_c2,subgraph,0.3,42,0.0,0.0
synthetic_c2,subgraph,0.3,1234,0.0,0.0
synthetic_c2,attr_mask,0.05,17,0.0,1.0
synthetic_c2,attr_mask,0.05,42,0.0,1.0
synthetic_c2,attr_mask,0.05,1234,0.0,1.0
synthetic_c2,attr_mask,0.1,17,0.0,1.0
synthetic_c2,attr_mask,0.1,42,0.0,1.0
synthetic_c2,attr_mask,0.1,1234,0.0,1.0
synthetic_c2,attr_mask,0.2,17,0.0,1.0
synthetic_c2,attr_mask,0.2,42,0.0,1.0
synthetic_c2,attr_mask,0.2,1234,0.0,1.0
synthetic_c2,attr_mask,0.3,17,0.0,1.0
synthetic_c2,attr_mask,0.3,42,0.0,1.0
synthetic_c2,attr_mask,0.3,1234,0.0,1.0
synthetic_c2,edge_drop,0.05,17,0.0,1.0
synthetic_c2,edge_drop,0.05,42,0.0,1.0
synthetic_c2,edge_drop,0.05,1234,0.0,1.0
synthetic_c2,edge_drop,0.1,17,0.0,1.0
synthetic_c2,edge_drop,0.1,42,0.0,1.0
synthetic_c2,edge_drop,0.1,1234,0.0,1.0
synthetic_c2,edge_drop,0.2,17,0.5,1.0
synthetic_c2,edge_drop,0.2,42,0.0,1.0
synthetic_c2,edge_drop,0.2,1234,0.0,1.0
synthetic_c2,edge_drop,0.3,17,0.5,1.0
synthetic_c2,edge_drop,0.3,42,0.0,1.0
synthetic_c2,edge_drop,0.3,1234,0.0,1.0
synthetic_c2,node_drop,0.05,17,0.0,1.0
synthetic_c2,node_drop,0.05,42,0.0,1.0
synthetic_c2,node_drop,0.05,1234,0.0,1.0
synthetic_c2,node_drop,0.1,17,0.0,1.0
synthetic_c2,node_drop,0.1,42,0.0,1.0
synthetic_c2,node_drop,0.1,1234,0.0,1.0
synthetic_c2,node_drop,0.2,17,1.0,1.0
synthetic_c2,node_drop,0.2,42,0.0,1.0
synthetic_c2,node_drop,0.2,1234,0.0,1.0
synthetic_c2,node_drop,0.3,17,1.0,1.0
synthetic_c2,node_drop,0.3,42,0.0,1.0
synthetic_c2,node_drop,0.3,1234,0.0,1.0
synthetic_c2,subgraph,0.05,17,0.0,1.0
synthetic_c2,subgraph,0.05,42,0.0,1.0
synthetic_c2,subgraph,0.05,1234,0.0,1.0
synthetic_c2,subgraph,0.1,17,0.0,1.0
synthetic_c2,subgraph,0.1,42,0.0,1.0
synthetic_c2,subgraph,0.1,1234,0.0,1.0
synthetic_c2,subgraph,0.2,17,0.0,1.0
synthetic_c2,subgraph,0.2,42,0.0,1.0
synthetic_c2,subgraph,0.2,1234,0.0,1.0
synthetic_c2,subgraph,0.3,17,0.0,1.0
synthetic_c2,subgraph,0.3,42,0.0,1.0
synthetic_c2,subgraph,0.3,1234,0.0,1.0
synthetic_c2,attr_mask,0.05,17,0.0,2.0
synthetic_c2,attr_mask,0.05,42,0.0,2.0
synthetic_c2,attr_mask,0.05,1234,0.0,2.0
synthetic_c2,attr_mask,0.1,17,0.0,2.0
synthetic_c2,attr_mask,0.1,42,0.0,2.0
synthetic_c2,attr_mask,0.1,1234,0.0,2.0
synthetic_c2,attr_mask,0.2,17,0.0,2.0
synthetic_c2,attr_mask,0.2,42,0.0,2.0
synthetic_c2,attr_mask,0.2,1234,0.0,2.0
synthetic_c2,attr_mask,0.3,17,0.0,2.0
synthetic_c2,attr_mask,0.3,42,0.0,2.0
synthetic_c2,attr_mask,0.3,1234,0.0,2.0
synthetic_c2,edge_drop,0.05,17,0.0,2.0
synthetic_c2,edge_drop,0.05,42,0.0,2.0
synthetic_c2,edge_drop,0.05,1234,0.0,2.0
synthetic_c2,edge_drop,0.1,17,0.0,2.0
synthetic_c2,edge_drop,0.1,42,0.0,2.0
synthetic_c2,edge_drop,0.1,1234,0.0,2.0
synthetic_c2,edge_drop,0.2,17,0.5,2.0
synthetic_c2,edge_drop,0.2,42,0.0,2.0
synthetic_c2,edge_drop,0.2,1234,0.0,2.0
synthetic_c2,edge_drop,0.3,17,0.5,2.0
synthetic_c2,edge_drop,0.3,42,0.0,2.0
synthetic_c2,edge_drop,0.3,1234,0.0,2.0
synthetic_c2,node_drop,0.05,17,0.0,2.0
synthetic_c2,node_drop,0.05,42,0.0,2.0
synthetic_c2,node_drop,0.05,1234,0.0,2.0
synthetic_c2,node_drop,0.1,17,0.0,2.0
synthetic_c2,node_drop,0.1,42,0.0,2.0
synthetic_c2,node_drop,0.1,1234,0.0,2.0
synthetic_c2,node_drop,0.2,17,1.0,2.0
synthetic_c2,node_drop,0.2,42,0.0,2.0
synthetic_c2,node_drop,0.2,1234,0.0,2.0
synthetic_c2,node_drop,0.3,17,1.0,2.0
